name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon
"Long Beach California",2024-04-18T00:00:00,16,16,11.8,75.93,0,0,,0,0,13,0,0,1015.5,0,15,0,0,0,10,Clear,clear-night
"Long Beach California",2024-04-18T01:00:00,15,15,11.7,80.62,0,0,,0,0,13,4.3,104,1015.3,17.3,13.2,0,0,0,10,Clear,clear-night
"Long Beach California",2024-04-18T02:00:00,14.5,14.5,11.7,83.26,0,0,,0,0,11.2,7.7,211,1015.4,23.8,13.1,0,0,0,10,Partially cloudy,partly-cloudy-night
"Long Beach California",2024-04-18T03:00:00,14.4,14.4,11.7,83.78,0,0,,0,0,11.2,5.4,137,1014.8,74.3,12.6,0,0,0,10,Partially cloudy,partly-cloudy-night
"Long Beach California",2024-04-18T04:00:00,14.2,14.2,12.1,87.43,0,0,,0,0,11.2,4,127,1014.2,100,12.2,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-18T05:00:00,14.6,14.6,11.8,83.06,0,0,,0,0,7.6,7.3,285,1014.5,100,12.2,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-18T06:00:00,14.2,14.2,11.8,85.35,0,0,,0,0,7.6,4,233,1014.8,100,7.1,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-18T07:00:00,14.6,14.6,11.6,82,0,0,,0,0,7.6,1.1,58,1015.4,100,5.5,54,0.2,1,10,Overcast,cloudy
"Long Beach California",2024-04-18T08:00:00,14.8,14.8,11.4,79.92,0,0,,0,0,9.4,2.2,27,1015.7,100,5.7,106,0.4,1,10,Overcast,cloudy
"Long Beach California",2024-04-18T09:00:00,15.6,15.6,11.3,75.49,0,0,,0,0,9.4,5.4,110,1015.5,43.1,10.6,279,1,3,10,Partially cloudy,partly-cloudy-day
"Long Beach California",2024-04-18T10:00:00,18,18,11.7,66.73,0,0,,0,0,9.4,7.4,71,1015.2,17.3,13,497,1.8,5,10,Clear,clear-day
"Long Beach California",2024-04-18T11:00:00,19.3,19.3,11.7,61.35,0,0,,0,0,20.5,0.4,22,1015.3,17.3,15,684,2.5,7,10,Clear,clear-day
"Long Beach California",2024-04-18T12:00:00,19.3,19.3,12,62.81,0,0,,0,0,42.1,26.6,225,1015.4,17.3,15.1,486,1.7,5,10,Clear,clear-day
"Long Beach California",2024-04-18T13:00:00,19.1,19.1,12.3,64.7,0,0,,0,0,20.5,16.8,209,1015.1,17.3,16,958,3.4,10,10,Clear,clear-day
"Long Beach California",2024-04-18T14:00:00,19.8,19.8,12.2,61.77,0,0,,0,0,25.9,15.9,201,1014.9,5.4,16,914,3.3,9,10,Clear,clear-day
"Long Beach California",2024-04-18T15:00:00,19.3,19.3,11.5,60.76,0,0,,0,0,27.7,14.4,184,1014.6,5.4,16,821,3,8,10,Clear,clear-day
"Long Beach California",2024-04-18T16:00:00,19.8,19.8,11.8,59.85,0,0,,0,0,25.9,14.6,203,1014.2,5.5,16,666,2.4,7,10,Clear,clear-day
"Long Beach California",2024-04-18T17:00:00,19,19,12.2,64.71,0,0,,0,0,27.7,16.7,205,1014.2,5.4,16,475,1.7,5,10,Clear,clear-day
"Long Beach California",2024-04-18T18:00:00,18.1,18.1,11.9,67.14,0,0,,0,0,27.7,8.4,206,1013.9,5.4,16,258,0.9,3,10,Clear,clear-day
"Long Beach California",2024-04-18T19:00:00,17.3,17.3,11,66.54,0,0,,0,0,27.7,12.1,178,1014.1,5.4,16,39,0.1,0,10,Clear,clear-day
"Long Beach California",2024-04-18T20:00:00,16.1,16.1,10.9,71.09,0,0,,0,0,18.4,9.2,157,1014.1,5.4,16,0,0,0,10,Clear,clear-night
"Long Beach California",2024-04-18T21:00:00,15.7,15.7,11.3,75.06,0,0,,0,0,18.4,10.3,181,1015,17.3,15.4,0,0,0,10,Clear,clear-night
"Long Beach California",2024-04-18T22:00:00,15.3,15.3,11.3,76.93,0,0,,0,0,18.4,8.6,166,1015.5,30,15.4,0,0,0,10,Partially cloudy,partly-cloudy-night
"Long Beach California",2024-04-18T23:00:00,15.7,15.7,11.3,74.72,0,0,,0,0,13,6.2,193,1015.5,96.3,15.6,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T00:00:00,15.4,15.4,11.1,75.61,0,0,,0,0,9.4,1.5,44,1015.3,100,15.6,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T01:00:00,15.4,15.4,10.8,73.61,0,0,,0,0,9.4,9.6,128,1015.4,100,15.4,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T02:00:00,15.4,15.4,10.3,71.19,0,0,,0,0,9.4,8.9,107,1014.8,100,15.4,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T03:00:00,15.5,15.5,10.7,73.3,0,0,,0,0,9.4,7.1,180,1014.7,100,15.6,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T04:00:00,15.4,15.4,10.2,71.15,0,0,,0,0,11.2,6.6,158,1014.5,100,15.6,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T05:00:00,15.4,15.4,10.1,70.96,0,0,,0,0,7.6,5,103,1014.2,100,15.6,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T06:00:00,15.3,15.3,10.1,71.01,0,0,,0,0,7.6,6.1,153,1014.1,100,15.4,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T07:00:00,15.4,15.4,10.2,70.92,0,0,,0,0,7.6,7,186,1014.5,100,15,44,0.2,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T08:00:00,15.9,15.9,10.1,68.37,0,0,,0,0,9.4,0,0,1014.9,100,15,145,0.5,1,10,Overcast,cloudy
"Long Beach California",2024-04-19T09:00:00,16,16,10.2,68.27,0,0,,0,0,9.4,9.1,199,1015.2,100,15,210,0.8,2,10,Overcast,cloudy
"Long Beach California",2024-04-19T10:00:00,16.6,16.6,10.1,65.82,0,0,,0,0,9.4,2.6,305,1015.4,100,15,740,2.7,7,10,Overcast,cloudy
"Long Beach California",2024-04-19T11:00:00,17.6,17.6,10.2,61.87,0,0,,0,0,13,1.5,305,1015.6,100,15,831,3,8,10,Overcast,cloudy
"Long Beach California",2024-04-19T12:00:00,18.9,18.9,10.6,58.66,0,0,,0,0,13,8.5,209,1015.2,89.9,15,646,2.3,6,10,Partially cloudy,partly-cloudy-day
"Long Beach California",2024-04-19T13:00:00,19.2,19.2,10.4,56.61,0,0,,0,0,25.9,11.1,211,1014.7,66.9,15.4,930,3.3,9,10,Partially cloudy,partly-cloudy-day
"Long Beach California",2024-04-19T14:00:00,19.6,19.6,10.3,54.73,0,0,,0,0,26.5,13.4,195,1014.6,9,14.1,588,2.1,6,10,Clear,clear-day
"Long Beach California",2024-04-19T15:00:00,19.7,19.7,10.4,55.03,0,0,,0,0,29.5,16.6,212,1014.3,11.9,15.6,811,2.9,8,10,Clear,clear-day
"Long Beach California",2024-04-19T16:00:00,19.6,19.6,10.3,55.24,0,0,,0,0,33.5,15.5,231,1013.6,11.9,15.6,665,2.4,7,10,Clear,clear-day
"Long Beach California",2024-04-19T17:00:00,19.5,19.5,10.9,57.39,0,0,,0,0,24.1,13.9,248,1013.2,6.5,15,465,1.7,5,10,Clear,clear-day
"Long Beach California",2024-04-19T18:00:00,18.7,18.7,10.8,60.01,0,0,,0,0,24.1,18,278,1013.4,40.3,15,244,0.9,2,10,Partially cloudy,partly-cloudy-day
"Long Beach California",2024-04-19T19:00:00,17.4,17.4,10.8,65.13,0,0,,0,0,24.1,14.4,277,1013.5,2,15,33,0.1,0,10,Clear,clear-day
"Long Beach California",2024-04-19T20:00:00,16.2,16.2,11.2,72.43,0,0,,0,0,20.5,15.5,288,1014.1,89.9,15.4,0,0,0,10,Partially cloudy,partly-cloudy-night
"Long Beach California",2024-04-19T21:00:00,15.9,15.9,10.7,71.38,0,0,,0,0,20.5,13,306,1014.9,92,15.4,0,0,0,10,Overcast,cloudy
"Long Beach California",2024-04-19T22:00:00,15.4,15.4,10.7,73.48,0,0,,0,0,20.5,11.5,317,1015.4,21.5,15.4,0,0,0,10,Partially cloudy,partly-cloudy-night
"Long Beach California",2024-04-19T23:00:00,15.1,15.1,10.7,74.62,0,0,,0,0,11.2,7,301,1015.3,9.7,15.4,0,0,0,10,Clear,clear-night
