name	datetime	temp	feelslike	dew	humidity	precip	precipprob	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	conditions	icon	stations
berlin	1992-07-01T00:00:00	25.4	25.4	8.1	33.3		0					29.7	175	1011	0	11.5					Clear	clear-night	10384099999,10389099999,10385099999
berlin	1992-07-01T01:00:00	24.4	24.4	8.3	35.76		0					35.2	175	1010.4	0	11.9					Clear	clear-night	10384099999,10389099999,10385099999
berlin	1992-07-01T02:00:00	22.8	22.8	9	41.4		0					31.6	174	1010.4	0	18.8					Clear	clear-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T03:00:00	22.4	22.4	9.3	43.36		0					32.9	182	1010.1	0	11.9					Clear	clear-night	10384099999,10389099999,10385099999
berlin	1992-07-01T04:00:00	21.8	21.8	9.3	44.89		0					22.9	197	1009.7	0	11.5					Clear	clear-night	10384099999,10389099999,10385099999
berlin	1992-07-01T05:00:00	20.2	20.2	9.6	50.46		0					14.1	188	1009.7	8.5	13.9					Clear	clear-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T06:00:00	19.8	19.8	9.5	51.31		0					9.4	191	1009.7	10	11.3					Clear	clear-day	10384099999,10389099999,10385099999
berlin	1992-07-01T07:00:00	20.2	20.2	10.1	51.98		0					5.8	205	1009.8	30	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T08:00:00	21.4	21.4	9.8	47.35		0					10.1	225	1009.7	41.5	15.3					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T09:00:00	22.5	22.5	10.4	46.27		0					9.3	262	1009.8	48.5	13.8					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T10:00:00	25.3	25.3	11	40.91		0					6.6	227	1009.5	50	10.7					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T11:00:00	27.7	27.2	11.3	36.13		0					5.6	245	1009.5	40	12.9					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T12:00:00	30.1	28.9	10.7	30.09		0					7.5	202	1009.2	30	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T13:00:00	31.3	29.7	9.6	26.22		0					16.5	243	1008.9	30	11.5					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T14:00:00	31.7	29.9	7.9	22.87		0					12.2	244	1008.5	30	14.6					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T15:00:00	32.5	30.6	8.5	22.63		0					18.2	258	1008.1	10	11.5					Clear	clear-day	10384099999,10389099999,10385099999
berlin	1992-07-01T16:00:00	33.3	31.6	9.5	23.18		0					11.1	257	1007.5	10	14					Clear	clear-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T17:00:00	32.9	30.9	8.1	21.65		0					0.2	170	1007.1	30	24					Partially cloudy	partly-cloudy-day	10381099999,10389099999,10385099999
berlin	1992-07-01T18:00:00	32.8	31	8.8	22.73		0					2	212	1006.5	30	11.5					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T19:00:00	31.8	30.2	9.8	25.78		0					25	299	1006.5	40	11.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T20:00:00	28.6	28.1	13.3	38.84		0					41.5	312	1007.1	84.1	11.6					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-01T21:00:00	26.1	26.1	13.9	46.83		0					36.9	320	1007.4	80	10.7					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-01T22:00:00	24.9	24.9	14.3	51.6		0					31.7	327	1008.3	100	10.7					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-01T23:00:00	23.9	23.9	14.3	54.97		0					25.8	321	1008.9	91.5	14.9					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-02T00:00:00	23.4	23.4	14.7	57.83		0					17.8	319	1009.1	100	11.1					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-02T01:00:00	23.2	23.2	14.9	59.49		0					20.1	301	1009.5	100	10.4					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-02T02:00:00	22.4	22.4	15.7	65.77		0					21.3	297	1009.6	65.9	14.7					Partially cloudy	partly-cloudy-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-02T03:00:00	21.6	21.6	16.3	71.68		0					22.5	312	1009.4	90	10.4					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-02T04:00:00	21.3	21.3	16.3	73.16		0					26	311	1009.7		10					Clear	clear-night	10384099999,10389099999
berlin	1992-07-02T05:00:00	20.5	20.5	16.4	77.73		0					28.9	318	1009.8	60	10					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999
berlin	1992-07-02T06:00:00	20.1	20.1	16.5	79.78		0					24.7	331	1010.3	60	10.1					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-02T07:00:00	20.3	20.3	16.5	78.99		0					25.1	327	1011.2	90	10.3					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
